Issue Type,Summary,Description,Epic Link,Status,Priority,Story Points,Labels,Component,Sprint,Dependencies
Sub-task,Activer MFA TOTP,"Permettre l'activation MFA TOTP et la vérification côté backend. **Lib:** pyotp. **Critères:** MFA activable, code TOTP vérifié","Étape 12 – Sécurité, Observabilité et CI/CD",À faire,Low,3,security backend,apps/api,24,
Sub-task,Gérer secret TOTP,"Générer un secret TOTP par utilisateur et stocker en sécurité (chiffré). **Critères:** Secret généré, QR code affiché","Étape 12 – Sécurité, Observabilité et CI/CD",À faire,Low,2,security backend,apps/api,24,
Sub-task,Plan rotation secrets,"Mettre en place un plan de rotation périodique des secrets critiques. **Doc:** docs/security/secret-rotation.md. **Critères:** Process documenté, script de rotation","Étape 12 – Sécurité, Observabilité et CI/CD",À faire,Low,3,security docs,docs,24,
Task,12.2 Monitoring complet,"Mettre en place Prometheus, Grafana et Loki pour métriques et logs. **Dossier:** tools/monitoring/","Étape 12 – Sécurité, Observabilité et CI/CD",À faire,High,8,devops,tools,24,
Sub-task,Exposer métriques API,Exposer des métriques HTTP et LLM via /metrics (Prometheus). **Lib:** prometheus-client. **Critères:** Endpoint /metrics actif,"Étape 12 – Sécurité, Observabilité et CI/CD",À faire,Low,3,backend devops,apps/api,24,
Sub-task,Provisionner dashboards Grafana,"Créer des dashboards pour latence, erreurs, LLM, ressources. **Fichiers:** tools/monitoring/grafana/dashboards/. **Critères:** 3+ dashboards","Étape 12 – Sécurité, Observabilité et CI/CD",À faire,Low,3,devops,tools,24,
Sub-task,Définir alertes Prometheus,"Configurer des alertes sur erreurs, latence, ressources. **Fichier:** tools/monitoring/prometheus/alerts.yml. **Critères:** Alertes configurées","Étape 12 – Sécurité, Observabilité et CI/CD",À faire,Low,2,devops,tools,24,
Task,12.3 CI/CD complet,"Renforcer le pipeline CI/CD avec coverage, scans vulnérabilités. **Dossier:** .github/workflows/","Étape 12 – Sécurité, Observabilité et CI/CD",À faire,High,8,devops security,root,25,1.7
Sub-task,Étendre pipeline tests,Étendre les tests avec couverture et publier les rapports. **Workflow:** Update ci.yml. **Critères:** Coverage report publié,"Étape 12 – Sécurité, Observabilité et CI/CD",À faire,Low,2,devops tests,root,25,
Sub-task,Scanner dépendances,"Scanner les dépendances et remonter alertes (Safety, npm audit). **Workflow:** security.yml. **Critères:** Scan sur chaque PR","Étape 12 – Sécurité, Observabilité et CI/CD",À faire,Low,3,devops security,root,25,
Sub-task,Scanner images Docker,"Scanner les images construites (Trivy). **Workflow:** Add trivy scan. **Critères:** Images scannées, rapport publié","Étape 12 – Sécurité, Observabilité et CI/CD",À faire,Low,3,devops security,root,25,
Task,12.4 SAST/DAST,Automatiser les scans de sécurité statiques et dynamiques.,"Étape 12 – Sécurité, Observabilité et CI/CD",À faire,High,5,security devops,root,25,
Sub-task,Configurer SAST,"Configurer Bandit, Safety, Semgrep pour le backend. **Workflow:** sast.yml. **Critères:** SAST sur chaque PR","Étape 12 – Sécurité, Observabilité et CI/CD",À faire,Low,2,security devops,root,25,
Sub-task,Configurer DAST,Configurer OWASP ZAP pour scanner l'API. **Workflow:** dast.yml. **Critères:** ZAP scan post-deploy staging,"Étape 12 – Sécurité, Observabilité et CI/CD",À faire,Low,2,security devops,root,25,
Sub-task,Publier rapports sécurité,Publier les rapports et notifier l'équipe. **Config:** Slack notification. **Critères:** Rapports publiés,"Étape 12 – Sécurité, Observabilité et CI/CD",À faire,Low,1,security devops,root,25,
Task,12.5 PenTest interne,"Réaliser un test d'intrusion interne focalisé sur auth, SQLi, rate limit, CORS.","Étape 12 – Sécurité, Observabilité et CI/CD",À faire,High,8,security tests,apps/api,25,
Sub-task,Tester JWT tampering,Vérifier la robustesse de la validation JWT. **Test:** Modifier signature. **Critères:** Tokens modifiés rejetés,"Étape 12 – Sécurité, Observabilité et CI/CD",À faire,Low,2,security tests,apps/api,25,
Sub-task,Tester injections SQL,Tester plusieurs payloads d'injection. **Test:** Injection attempts. **Critères:** Toutes injections bloquées,"Étape 12 – Sécurité, Observabilité et CI/CD",À faire,Low,2,security tests,apps/api,25,
Sub-task,Tester rate limiting,Vérifier l'efficacité du rate limit. **Test:** Burst requests. **Critères:** 429 retourné,"Étape 12 – Sécurité, Observabilité et CI/CD",À faire,Low,2,security tests,apps/api,25,
Sub-task,Tester CORS,Vérifier que seule l'origine autorisée est acceptée. **Test:** Request unauthorized. **Critères:** CORS headers corrects,"Étape 12 – Sécurité, Observabilité et CI/CD",À faire,Low,2,security tests,apps/api,25,
Task,12.6 Scans sécurité planifiés,Planifier des scans SAST et DAST récurrents et centraliser les rapports.,"Étape 12 – Sécurité, Observabilité et CI/CD",À faire,High,3,security devops,root,25,12.4
Sub-task,Planifier scans,Planifier des scans hebdomadaires et quotidiens. **Workflow:** Cron schedule. **Critères:** Scans automatiques configurés,"Étape 12 – Sécurité, Observabilité et CI/CD",À faire,Low,1,security devops,root,25,
Sub-task,Centraliser résultats,Agréger les résultats dans un dashboard sécurité. **Tool:** GitHub Security. **Critères:** Dashboard avec historique,"Étape 12 – Sécurité, Observabilité et CI/CD",À faire,Low,1,security,root,25,
Sub-task,Alerter sur critiques,Notifier immédiatement en cas de vulnérabilité critique. **Config:** PagerDuty/Slack. **Critères:** Alert envoyée <5min,"Étape 12 – Sécurité, Observabilité et CI/CD",À faire,Low,1,security devops,root,25,
